Contract_One year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,InternetService_Fiber optic,OnlineBackup_No internet service,tenure_standardized,gender_Male,StreamingMovies_Yes,OnlineSecurity_No internet service,Partner_Yes,OnlineSecurity_Yes,DeviceProtection_No internet service,MultipleLines_Yes,Dependents_Yes,SeniorCitizen_1,Contract_Two year,InternetService_No,StreamingMovies_No internet service,StreamingTV_No internet service,StreamingTV_Yes,PhoneService_Yes,TechSupport_No internet service,OnlineBackup_Yes,TotalCharges_standardized,TechSupport_Yes,MonthlyCharges_standardized,PaymentMethod_Mailed check,MultipleLines_No phone service,DeviceProtection_Yes,PaperlessBilling_Yes
1,0,1,0,1,0,0,0.046141706,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,-0.18037969,0,-0.218715127
0,0,0,1,0,0,1,-1.481049737,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-0.998451547,1,-1.277444584
0,0,0,0,0,0,0,-0.64848944,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.987399801,1,-1.277444584
0,1,1,0,0,1,0,1.167854681,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2.191995607,0,1.61370124
0,0,0,0,0,1,0,0.164129293,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.867551226,1,-1.114563129
0,0,0,0,1,1,0,0.333632587,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.558101949,0,0.554971784
0,0,0,0,1,1,0,1.382226494,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0.558521077,1,0.066327419
0,0,0,0,1,1,0,1.099721004,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,-0.51967491,0,-0.870240946
1,0,1,0,0,0,0,-0.505574898,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,-0.797490656,1,-0.91096131
0,1,1,0,0,0,0,0.147511323,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1.142256212,0,1.532260513
1,0,1,1,0,0,1,-1.46276997,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.822836876,0,-0.625918764
0,1,0,0,1,0,0,0.501474084,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1.137447269,0,1.247217967
0,0,0,0,0,0,0,0.380162903,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,-0.574360096,0,-0.788800219
0,0,0,0,0,1,0,0.656021205,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0.716223536,0,0.677132875
0,0,0,0,0,0,0,-0.51554568,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.964568349,1,-1.23672422
0,0,0,0,0,1,0,0.528062836,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,-0.94376636,0,-1.23672422
0,1,0,0,0,0,0,0.49815049,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0.853476957,1,0.799293966
0,1,1,0,1,0,0,-0.020330174,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0.869492062,0,1.491540149
0,0,0,0,0,1,0,0.84712786,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0.686244848,0,0.432810693
0,0,0,0,0,1,0,1.141265929,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,-0.378053733,0,-0.707359492
0,0,0,0,0,0,0,0.157482105,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,-0.234116323,0,-0.300155854
0,0,0,0,0,1,0,0.528062836,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,-0.727959512,0,-0.992402038
1,0,1,0,1,0,0,0.335294384,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0.958722227,0,1.125056876
0,0,0,0,0,1,0,1.019954748,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,-0.234160442,1,-0.5851984
1,0,1,0,0,1,0,1.159545696,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1.777058796,0,1.247217967
1,0,1,0,1,1,0,1.452021968,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,2.114633385,1,1.369379058
0,1,1,1,0,0,1,-1.323179022,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,-0.612809584,0,0.066327419
0,1,0,0,1,1,0,1.420447825,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,2.457590461,0,1.61370124
0,0,0,0,1,1,0,1.187796245,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1.069349983,0,0.595692147
0,0,0,0,0,1,0,0.835495281,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1.397416982,1,1.125056876
0,1,0,0,1,0,0,-0.753182651,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.299433738,1,1.61370124
1,0,1,0,1,0,0,-0.344380589,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,-0.585103011,0,-0.5851984
0,0,0,0,0,1,0,0.985057011,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,-0.629155579,0,-0.951681674
0,0,0,0,0,0,0,0.350250557,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,-0.899669673,0,-1.196003856
1,0,0,0,0,1,0,0.469899941,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.60312513,1,0.595692147
0,1,0,0,1,0,0,0.479870723,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0.094369804,0,-0.055833672
0,1,1,1,0,0,1,-1.482711534,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-0.596662122,0,0.717853239
0,0,0,0,1,1,0,0.501474084,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.615875836,1,-0.91096131
0,0,0,0,0,0,0,-0.522192868,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-0.985723288,1,-1.277444584
1,0,1,1,0,0,1,-1.474402549,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,-0.526182425,0,0.799293966
0,1,1,0,1,1,0,1.556715179,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,2.124626281,1,1.287938331
0,1,1,1,0,0,1,-1.34644418,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,-0.378847871,1,1.206497603
0,0,1,0,0,0,0,-0.008697595,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,-0.929096877,0,-1.196003856
1,0,0,0,1,1,0,1.520155645,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1.701306908,0,0.962175421
1,0,0,0,0,0,0,-0.302835664,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.178923382,0,0.554971784
0,0,1,0,0,0,0,-0.336071604,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-0.794600879,0,-0.992402038
0,0,0,0,0,0,0,0.33197079,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,-0.075884438,1,-0.096554036
1,0,1,1,0,0,1,-1.291604879,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,-0.470614864,0,0.51425142
0,0,1,0,0,1,0,0.484856114,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,-0.972355308,0,-1.277444584
0,0,1,0,0,0,0,-0.472338958,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,-0.7579382,0,-0.870240946
0,0,0,0,1,1,0,0.345265166,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,-0.788137482,0,-1.033122401
0,0,0,0,1,1,0,1.297474847,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0.901875222,0,0.392090329
0,1,0,1,0,0,1,-1.482711534,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,-0.577933714,0,0.677132875
0,0,0,0,0,1,0,1.147913117,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,-0.60202255,1,-0.951681674
1,0,0,0,0,0,0,-0.086802054,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,-0.029934764,0,0.107047783
0,1,1,1,0,0,1,-1.466093564,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-0.541028383,0,0.636412511
0,1,1,1,0,0,1,-1.489358722,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,-0.598338635,0,0.554971784
0,0,0,0,0,0,0,-1.03070275,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,-0.562095084,1,-0.1372744
0,0,1,0,1,1,0,0.574593152,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.126576489,1,-0.096554036
0,0,0,0,0,1,0,0.330308993,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,-0.97440683,1,-1.277444584
0,1,1,0,1,0,0,0.639403235,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1.513691939,1,1.369379058
0,0,0,0,1,1,0,1.538435412,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,2.128155781,0,1.328658694
0,1,0,0,1,1,0,1.201090621,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2.283475828,1,1.61370124
0,0,0,0,0,1,0,0.471561738,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.598228338,0,-0.829520583
1,0,1,0,0,0,0,0.069406864,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1.087703382,1,1.572980877
0,0,0,1,0,0,1,-1.452799188,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.957134341,1,-1.114563129
0,1,0,1,0,0,1,-1.454460985,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-0.518880772,1,0.799293966
0,0,0,0,1,1,0,1.121324365,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0.102002347,0,-0.300155854
0,0,0,1,0,0,1,-1.481049737,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.998451547,1,-1.277444584
0,0,1,1,0,0,1,-1.505976692,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,-0.998782437,0,-1.277444584
1,0,0,0,1,1,0,1.004998575,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.583381991,1,0.229208874
1,0,0,0,1,0,0,-0.638518658,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.32822122,0,1.369379058
0,1,0,0,1,1,0,1.503537675,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,2.350889273,1,1.450819786
0,0,0,0,0,0,0,-1.344782383,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.96315655,1,-1.114563129
1,0,1,0,0,1,0,1.309107426,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,2.214650583,0,1.61370124
1,0,0,0,0,0,0,-1.150352134,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.598095982,0,-0.015113308
1,0,0,0,0,1,0,0.983395214,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0.722664873,1,0.432810693
0,1,1,1,0,0,1,-1.507638489,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,-0.405914722,1,1.61370124
0,0,0,0,0,1,0,1.06316147,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1.303973477,1,0.921455057
1,0,0,0,1,0,0,-0.226393002,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0.334839032,0,0.799293966
0,0,0,0,1,1,0,0.893658176,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0.737135822,0,0.432810693
0,0,0,0,0,1,0,0.390133685,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.258028294,0,0.18848851
0,1,1,0,0,0,0,-0.337733401,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0.503041753,0,1.287938331
0,0,1,0,0,1,0,0.833833484,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,-0.897772567,1,-1.196003856
0,1,0,0,0,0,0,-1.120439788,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.510432032,0,0.147768147
0,0,1,0,0,1,0,1.17948726,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,-0.537653299,0,-0.91096131
0,1,0,1,0,0,1,-1.466093564,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.638905822,0,0.351369965
0,0,1,0,0,1,0,0.679286363,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,-0.058104584,1,-0.218715127
1,0,1,0,1,1,0,1.164531087,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1.425983871,0,0.962175421
0,0,0,1,0,0,1,-1.464431767,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.957619647,0,-1.073842765
0,0,0,0,0,1,0,0.320338211,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.906088951,1,-1.196003856
0,0,1,0,0,0,0,-0.467353567,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-0.852793505,0,-1.033122401
0,0,1,1,0,0,1,-1.459446376,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.979612842,0,-1.155283493
0,1,0,0,0,1,0,0.803921138,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0.328397695,1,0.025607055
0,0,0,0,1,1,0,0.441649392,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,-0.065207702,0,-0.218715127
0,1,0,1,0,0,1,-1.369709338,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,-0.246778403,1,1.61370124
0,0,0,1,0,0,1,-1.49600591,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.998650081,1,-1.277444584
1,0,0,0,0,0,0,-0.276246912,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0.75092293,1,1.572980877
0,0,0,0,0,1,0,0.704213318,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,-0.471033992,0,-0.788800219
0,0,1,0,1,0,0,-0.204789641,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,-0.344413189,0,-0.300155854
0,1,0,0,0,0,0,-0.472338958,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.430951721,1,1.410099422
0,0,0,0,0,0,0,-0.974201652,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.991723438,1,-1.277444584
0,0,0,0,0,0,0,-0.678401786,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.971517052,1,-1.23672422
0,1,0,1,0,0,1,-1.298252067,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,-0.483144588,0,0.432810693
0,0,0,0,0,1,0,0.340279775,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.222711627,0,-0.381596582
0,1,1,1,0,0,1,-1.481049737,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.44363625,0,1.287938331
0,1,1,1,0,0,1,-1.500991301,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,-0.490931546,1,1.002895785
0,0,0,0,0,1,0,0.189056248,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,-0.976281877,0,-1.277444584
0,1,1,0,1,0,0,0.774008792,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1.827552702,0,1.61370124
0,0,0,0,0,0,0,0.212321406,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.758688219,0,-0.992402038
0,1,0,0,0,1,0,1.206076012,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1.627077117,0,1.16577724
1,0,0,0,0,1,0,0.649374017,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1.326099029,1,1.287938331
0,1,0,1,0,0,1,-1.356414962,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,-0.232550107,1,1.572980877
0,1,1,0,0,1,0,1.139604132,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1.823604074,0,1.328658694
1,0,0,1,0,0,1,-1.500991301,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.980296683,1,-1.196003856
0,0,0,0,0,0,0,-0.635195064,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.987223326,1,-1.277444584
1,0,1,0,1,0,0,-0.008697595,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-0.155893785,1,-0.096554036
0,0,1,0,1,0,0,0.157482105,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,-0.534675283,1,-0.707359492
0,0,1,0,0,0,0,0.125907962,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,-0.758379388,0,-0.992402038
0,0,0,0,0,1,0,1.004998575,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,-0.71816515,1,-1.033122401
1,0,1,0,1,1,0,1.442051186,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,2.491495718,0,1.532260513
0,1,1,0,1,0,0,0.709198709,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1.293539394,1,1.206497603
0,0,1,1,0,0,1,-1.497667707,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.957288756,0,-1.073842765
0,0,1,0,0,1,0,0.536371821,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,-0.498762624,0,-0.748079855
0,0,0,0,0,1,0,0.644388626,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.203542032,0,-0.422316946
1,0,1,1,0,0,1,-1.482711534,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.822108917,1,-0.422316946
0,1,1,0,1,0,0,-0.01700658,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,-0.555587569,1,-0.666639128
0,1,0,1,0,0,1,-1.298252067,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-0.896360767,1,-0.91096131
0,0,1,0,0,0,0,-0.291203085,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.670053657,0,-0.788800219
0,0,0,0,0,1,0,0.586225731,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,-0.304838674,0,-0.503757673
0,0,0,0,0,1,0,0.164129293,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.947714988,0,-1.23672422
0,1,0,0,1,0,0,0.303720241,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.73896675,1,0.84001433
1,0,1,1,0,0,1,-1.467755361,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.904169785,0,-0.870240946
0,1,0,1,0,0,1,-1.491020519,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.405826484,1,1.491540149
0,0,0,0,0,1,0,0.204012421,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.886919356,0,-1.155283493
0,1,0,0,1,0,0,0.807244732,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1.752021408,1,1.61370124
0,0,0,0,1,0,0,-0.646827643,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0.162312674,1,1.043616148
0,0,1,1,0,0,1,-1.474402549,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,-0.865565882,0,-0.666639128
1,0,0,0,1,1,0,0.64771222,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.554109202,1,0.432810693
0,0,0,0,1,1,0,1.317416411,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,-0.900243217,0,-1.23672422
0,1,0,0,1,0,0,0.571269558,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,-0.485990247,1,-0.748079855
1,0,0,0,1,1,0,1.000013184,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1.198662029,0,0.84001433
1,0,0,1,0,0,1,-1.469417158,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-0.718584278,0,-0.015113308
0,0,0,1,0,0,1,-1.331488007,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,-0.663149073,0,0.066327419
0,0,0,0,0,1,0,0.322000008,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,-0.501895055,0,-0.707359492
0,0,0,0,0,1,0,0.388471888,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.785181526,0,-1.033122401
0,0,1,0,1,1,0,1.348990554,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,-0.319441979,0,-0.707359492
1,0,0,1,0,0,1,-1.469417158,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,-0.454996827,1,1.16577724
